input_text,target_text
English: whirl | German: Wirbel | Dutch: wervel | Swedish: virvel,hwierfel
English: tithe | German: zehnte | Dutch: tiende | Swedish: tionde,tēoþa
English: helpless | German: hilflos | Swedish: hjälplös,*helplēas
English: sheen | German: schön | Dutch: schoon | Swedish: skön,sċīene
German: queren | Swedish: tvära,þweorian
English: owe | German: eigen | Dutch: eigen | Swedish: egen,āgan
English: strike | German: streiken | Dutch: strijken,strīcan
German: frech | Dutch: vrek | Swedish: fräck,frec
English: midge | German: Mücke | Dutch: mug | Swedish: mygga,myċġ
English: mad | Swedish: meta,mǣded
English: costen | German: kosten | Dutch: kosten | Swedish: kosta,costian
English: short | German: Schurz | Dutch: schort,sċort
English: kiss | German: Kuss | Dutch: kus | Swedish: kyss,coss
English: -en | German: -en | Dutch: -en | Swedish: -a,-an
English: fall | German: Fall | Dutch: val | Swedish: fall,feall
English: rackie | German: Rache | Dutch: rekel,racca
English: enlight | German: einleuchten | Dutch: inlichten,inlīhtan
English: bleat | German: blaßen | Dutch: blaten,blǣtan
English: rustle | Dutch: risten,*hristan
English: list | German: lüsten | Dutch: lusten | Swedish: lysta,lystan
English: kiss | German: küssen | Dutch: kussen | Swedish: kyssa,cyssan
English: nether | German: nieder | Dutch: neder | Swedish: ned,niþer
English: landscape | German: Landschaft | Dutch: landschap | Swedish: landskap,landsċipe
English: sloom | German: schlummen | Dutch: sluimeren,slūma
English: mid | German: Mitte,midd
English: quitch | German: Quecke | Dutch: kweek | Swedish: kvicka,cwice
English: ooze | Swedish: os,wōs
English: room | German: raum | Dutch: ruim | Swedish: rum,rūm
English: float | German: Fluss | Dutch: vlot | Swedish: flott,flot
English: hammer | German: Hammer | Dutch: hamer | Swedish: hammare,hamor
English: farrow | German: Ferkel | Dutch: varken | Swedish: fargalt,fearh
English: rainwater | German: Regenwasser | Swedish: regnvatten,reġnwæter
English: thought | German: Gedachte | Dutch: gedachte,þōht
English: do | German: tun | Dutch: doen | Swedish: don,dōn
English: Kaiser | German: Kaiser | Dutch: keizer | Swedish: kejsare,cāsere
English: soap | German: Seife | Dutch: zeep | Swedish: såpa,sāpe
English: fish | German: Fisch | Dutch: vis | Swedish: fisk,fisċ
English: orlay | Dutch: oorlog | Swedish: örlog,orlæġ
English: thin | German: dünn | Dutch: dun | Swedish: tunn,þynne
English: Suebi | German: Schwabe | Dutch: Zwaab,Swǣfas
English: earth | German: Erde | Dutch: aarde | Swedish: jord,eorþe
English: head | Swedish: huvud,hēafod
English: settle | Dutch: zedel,seþl
German: mager | Dutch: mager | Swedish: mager,mæġer
German: Magd | Dutch: maagd,mæġeþ
English: book | Dutch: boeken | Swedish: boka,bōcian
English: limb | Dutch: leem | Swedish: lem,lim
English: char | German: kehren | Dutch: keren | Swedish: köra,ċierran
English: mizzy | Swedish: myr,*mīesiġ
English: dun | German: Ton | Dutch: deun | Swedish: dön,dyne
German: begangen | Dutch: begangenis,begangan
English: lake | German: Laich | Swedish: lek,lāc
German: ersuchen | Dutch: erzoeken,āsēċan
English: sail | German: Segel | Dutch: zeil | Swedish: segel,seġl
English: shirt | German: Schürze | Dutch: schort | Swedish: skört,sċyrte
English: fly | German: Fliege | Dutch: vlieg,flēoge
English: leese | German: lösen | Dutch: lozen | Swedish: lösa,līesan
English: quern | Dutch: kweern | Swedish: kvarn,cweorn
English: ea | German: Ach | Dutch: a | Swedish: å,ēa
English: neighbour | German: Nachbar | Dutch: nagebuur | Swedish: nabo,nēahġebūr
English: gad | German: Gatte | Dutch: gade,gada
German: dehnen | Swedish: tänja,þennan
English: band | Dutch: bende,bænd
English: fey | German: feige | Dutch: veeg | Swedish: feg,fǣġe
English: depth | Dutch: diepte | Swedish: dyft,*dīepþ
German: gebühren | Dutch: gebeuren,ġebyrian
English: leap | German: laufen | Dutch: lopen | Swedish: löpa,hlēapan
English: green | German: grün | Dutch: groen | Swedish: grön,grēne
English: dung | Dutch: dong,dung
English: line | German: Lein | Dutch: lijn | Swedish: lin,līn
English: vineyard | German: Weingarten | Dutch: wijngaard | Swedish: vingård,wīnġeard
English: fleet | German: Fleet | Dutch: vliet | Swedish: fljut,flēot
English: whoost | Dutch: hoesten | Swedish: hosta,*hwōstian
English: hold | German: halten | Dutch: houden | Swedish: hålla,healdan
English: bridle | German: Breidel | Dutch: breidel,brīdel
English: bath | German: Bad | Dutch: bad | Swedish: bad,bæþ
English: shive | German: Scheibe | Dutch: schijf | Swedish: skiva,*sċīfe
English: chill | Dutch: kil,ċiele
German: Tüte | Dutch: tuit | Swedish: tut,þēote
English: puck | Dutch: peuk | Swedish: puke,pūca
German: öden | Swedish: öda,īeþan
English: louk | German: abluchsen,lūcan
English: gain | German: begegnen | Dutch: bejegenen,ġieġnan
English: bunch | German: Bunge | Dutch: bonk | Swedish: bunke,*bunca
English: mail | German: Mahl | Swedish: mål,mæþel
English: hinder | German: hindern | Dutch: hinderen | Swedish: hindra,hindrian
English: flask | German: Flasche | Dutch: fles | Swedish: flaska,flasce
English: steven | German: Stimme | Dutch: stem,stefn
German: Rah | Dutch: ra | Swedish: råmärke,rāwe
English: bait | German: Beiße | Dutch: beits | Swedish: bet,bāt
English: man | Dutch: mannen | Swedish: bemanna,mannian
English: stoop | Dutch: stuipen | Swedish: stupa,stūpian
English: rock | German: Rocken | Dutch: rok | Swedish: rock,*rocca
English: hack | German: hacken | Dutch: hakken | Swedish: hacka,*haccian
English: dreve | German: trüben | Dutch: droeven | Swedish: bedröva,drēfan
English: freeze | German: frieren | Dutch: vriezen | Swedish: frysa,frēosan
English: tie | Swedish: töja,tīeġan
German: stimmen | Dutch: stemmen | Swedish: stämma,stemnan
German: Birke | Dutch: berk | Swedish: björk,beorc
English: crumb | German: Krume | Swedish: krumma,cruma
English: mightless | German: machtlos | Dutch: machteloos | Swedish: maktlös,meahtleās
English: sparhawk | Swedish: sparvhök,spearhafoc
English: ice | German: Eis | Dutch: ijs | Swedish: is,īs
English: dinge | Swedish: dänga,denġan
German: verjüngen | Swedish: ynga,*ġinġan
English: -e | Swedish: -a,-o
English: bear | German: gebären | Swedish: bära,beran
English: weaponless | German: waffenlos | Dutch: wapenloos | Swedish: vapenlös,wǣpnlēas
German: darben | Dutch: derven,þearfian
English: work | Swedish: yrka,wyrċan
English: stock | German: Stock | Dutch: stok | Swedish: stock,stocc
English: kin | German: Künne | Dutch: kunne | Swedish: kön,cynn
English: gripe | German: greifen | Dutch: grijpen | Swedish: gripa,grīpan
English: threat | Dutch: droten,þrēatian
English: bosom | German: Busen | Dutch: boezem,bōsm
English: crabble | German: krabbeln | Dutch: krabbelen | Swedish: kravla,*crabblian
English: jowl | German: Kehle | Dutch: keel,ċeole
English: stay | German: Stag | Dutch: stag | Swedish: stag,stæġ
English: ward | German: Warte | Swedish: vård,weard
English: heath | German: Heide | Dutch: heide | Swedish: hed,hǣþ
English: seed | German: Saat | Dutch: zaad | Swedish: säd,sǣd
English: hundred | German: hundert | Dutch: honderd | Swedish: hundra,hundred
German: innen | Swedish: innan,innan
English: wheel | German: Wiel | Dutch: wiel | Swedish: vele,hweogl
English: where | German: wo | Dutch: waar | Swedish: var,hwǣr
English: madder | Swedish: madra,mædere
English: knead | German: kneten | Dutch: kneden | Swedish: knåda,cnedan
English: bleed | German: bluten | Dutch: bloeden | Swedish: blöda,blœ̄dan
English: dill | German: Dill | Dutch: dille | Swedish: dill,dile
English: wide | German: weit | Dutch: wijd | Swedish: vid,wīd
English: spoor | German: Spur | Dutch: spoor | Swedish: spår,spor
English: unsweet | German: unsüß | Dutch: onzoet | Swedish: osöt,unswēte
English: smelt | Swedish: smält,smelt
English: spire | German: Spier | Dutch: spier | Swedish: spira,spīr
German: Deichsel | Dutch: dissel | Swedish: tistel,þīxl
English: miss | German: missen | Dutch: missen | Swedish: mista,missan
English: wineberry | German: Weinbeere | Dutch: wijnbeer | Swedish: vinbär,wīnberġe
English: warm | German: wärmen | Dutch: warmen | Swedish: värma,wierman
English: spoke | German: Speiche | Dutch: spaak,spāca
English: enough | German: genug | Dutch: genoeg | Swedish: nock,ġenōg
English: understand | Swedish: understånda,understandan
English: mackly | Dutch: mak,mæc
English: spear | German: Speer | Dutch: speer,spere
German: Grind | Dutch: grind,grinde
German: mären | Dutch: vermaren,mǣran
English: neer | German: Niere | Dutch: nier | Swedish: njure,*nēora
English: high | German: high | Dutch: hoog | Swedish: hög,hēah
English: hallow | German: heiligen | Dutch: heiligen | Swedish: helga,*hālegian
English: wade | German: waten | Dutch: waden | Swedish: vada,wadan
English: swoop | German: schweifen | Swedish: svepa,swāpan
English: nait | German: nütze | Swedish: nyter,nytt
German: ratlos | Dutch: radeloos | Swedish: rådlös,rǣdlēas
English: lear | German: lehren | Dutch: leren | Swedish: lära,lǣran
English: merry | German: murk,myrġe
English: leap | German: Lauf | Dutch: loop,hlēap
English: fear | German: Fahr | Dutch: gevaar | Swedish: fara,fǣr
English: lust | German: lusten | Dutch: lusten | Swedish: lusta,*lustian
English: snithe | German: schneiden | Dutch: snijden | Swedish: snida,snīþan
English: benim | German: benehmen | Dutch: benemen,beniman
German: arbeiten | Swedish: arbeta,earfodian
English: cock | German: Kock | Dutch: kok | Swedish: kuk,cocc
German: glauben | Dutch: geloven,ġelīefan
German: Alter | Dutch: ouder | Swedish: ålder,ealdor
English: -y | German: -ig | Dutch: -ig | Swedish: -og,-iġ
English: throw | Swedish: trå,þrēa
English: leech | Swedish: läkare,lǣċe
English: heavel | German: Hebel | Dutch: hevel | Swedish: hävel,hebel
English: spell | Swedish: spjäll,spell
English: endless | German: endlos | Dutch: eindeloos | Swedish: ändlös,endelēas
German: eignen | Dutch: eigenen,āgnian
English: hear | German: hören | Dutch: horen | Swedish: höra,hīeran
Dutch: miegen | Swedish: miga,mīgan
English: sunder | German: sondern | Dutch: zonder | Swedish: sönder,sundor
English: hunger | German: Hunger | Dutch: honger | Swedish: hunger,hungor
English: halt | Swedish: halt,healt
English: lief | German: lieb | Dutch: lief | Swedish: ljuv,lēof
English: witless | German: witzlos | Swedish: vettlös,witlēas
English: put | Dutch: poten | Swedish: putta,*putian
German: mahnen | Dutch: manen,manian
English: goaten | German: geißen,gǣten
English: good | German: gut | Dutch: goed | Swedish: god,gōd
English: graze | German: grasen | Dutch: grazen,grasian
English: rife | Dutch: rijf,rīfe
English: droff | German: trüb | Dutch: droef | Swedish: drov,drōf
English: navel | German: Nabel | Dutch: navel | Swedish: navel,nafola
English: room | German: Raum | Dutch: ruim | Swedish: rum,rūm
English: wind | German: winden | Dutch: winden | Swedish: vinda,windan
English: shoot | German: schoßen,sċotian
German: geiseln | Dutch: gijzelen,gīslian
English: milt | Dutch: milt | Swedish: mjälte,milte
English: arm | German: Arm | Dutch: arm | Swedish: arm,earm
English: fen | German: Fenn | Dutch: veen | Swedish: fen,fenn
English: rest | German: Rast | Dutch: rast | Swedish: rast,ræst
English: brush | German: Bürste | Swedish: borst,byrst
English: fathom | German: Faden | Dutch: vadem | Swedish: famn,fæþm
English: deep | German: tief | Dutch: diep | Swedish: djup,dēop
English: ford | German: Förde | Dutch: voorde,ford
English: weal | German: Wol,wela
English: wimple | German: Wimpel | Dutch: wimpel | Swedish: vimpel,wimpel
German: Spint | Dutch: spint,spind
English: comb | German: Kamm | Dutch: kam | Swedish: kam,camb
English: thrave | German: traben | Dutch: draven | Swedish: trava,þrafian
English: atter | German: Eiter | Dutch: etter | Swedish: etter,ātor
English: thoft | Dutch: doft | Swedish: toft,þofte
English: twig | German: Zweig | Dutch: twijg,twiġ
English: cat | Swedish: katt,catt
English: rother | Dutch: rund,hrūþ
English: teld | German: Zelt | Dutch: telde | Swedish: tält,teld
English: float | German: floaten | Dutch: vlotten | Swedish: flotta,flotian
German: gewinnen | Dutch: gewinnen,ġewinnan
English: glede | German: Glut | Dutch: gloed | Swedish: glöd,glēd
English: weather | German: Wetter | Dutch: weder | Swedish: väder,weder
English: swallow | German: schwelgen | Dutch: zwelgen | Swedish: svälja,swelgan
English: shot | German: Schoss | Dutch: schot | Swedish: skott,sċot
English: shank | Swedish: skank,sċanca
English: ween | German: weinen | Dutch: wenen,wānian
English: walk | German: walken | Dutch: walken | Swedish: valka,wealcian
English: mean | German: meinen | Dutch: menen | Swedish: mena,mǣnan
English: grim | German: grimm | Dutch: grim | Swedish: grym,grimm
English: oft | German: oft | Dutch: oft | Swedish: ofta,oft
English: snare | German: Schnarre | Dutch: snaar | Swedish: snara,sneare
German: Schneise | Dutch: snees | Swedish: snes,snās
English: hele | German: hehlen | Dutch: helen | Swedish: häla,helan
English: weet | Swedish: våt,wǣt
English: handy | German: handig | Dutch: handig | Swedish: händig,*hendiġ
English: Reich | German: Reich | Dutch: rijk | Swedish: rike,rīce
English: blow | German: blähen | Dutch: blaaien,blāwan
English: rind | German: Rinde | Dutch: rinde,rinde
English: ness | Dutch: nes | Swedish: näs,ness
English: link | Swedish: länk,hlenċe
English: linden | German: linden,linden
English: take | Dutch: taken | Swedish: taga,tacan
English: maw | German: Magen | Dutch: maag | Swedish: mage,maga
English: shard | German: Scharte | Dutch: schaarde,sċeard
English: drove | Dutch: dreef | Swedish: drev,drāf
English: feathers | German: Gefieder | Dutch: gevederte,fiþre
English: flack | Dutch: vlakken,*flaccian
English: shrithe | German: schreiten | Dutch: schrijden | Swedish: skrida,sċrīþan
German: -haft | Dutch: -acht,hæft
English: need | Dutch: noden,nīedan
English: bottle | Dutch: boedel | Swedish: bol,botl
English: pretty | Dutch: prettig,prættiġ
English: eighth | German: achte | Swedish: åttonde,eahtoþa
English: shoot | German: schießen | Dutch: schieten | Swedish: skjuta,sċēotan
English: mild | German: milde | Dutch: mild | Swedish: mild,milde
English: untrue | German: untreu | Dutch: ontrouw,untrīewe
English: bleach | German: bleichen | Dutch: bleken | Swedish: bleka,blǣċan
German: ahnden | Swedish: andas,andian
English: sneak | Swedish: snika,snīcan
English: beam | German: beamen | Dutch: beamen | Swedish: bom,bēam
Dutch: snaar | Swedish: snar,snear
English: walm | German: Qualm | Dutch: walm,wielm
English: grassy | German: grasig | Dutch: grazig,*græsiġ
English: shag | Swedish: skägg,sċeacga
German: rügen | Dutch: wroegen | Swedish: röja,wrēġan
English: rock | German: Frack | Dutch: rok | Swedish: frack,rocc
English: seel | Swedish: säll,sēl
English: tarry | German: zergen | Dutch: tergen | Swedish: targa,terġan
English: turf | German: Torf | Dutch: turf | Swedish: torv,turf
English: udder | German: Euter | Dutch: jadder | Swedish: juver,ūder
English: unfrith | German: Unfriede | Dutch: onvrede,unfriþ
English: prat | Dutch: prat,prætt
English: stride | German: streiten | Dutch: strijden | Swedish: strida,strīdan
English: liefly | German: lieblich | Dutch: lieflijk | Swedish: ljuvlig,lēoflīc
English: bid | German: bieten | Dutch: bieden | Swedish: bjuda,bēodan
English: swarm | German: schwärmen | Dutch: zwermen | Swedish: svärma,swirman
English: snatch | Dutch: snakken,*snæċċan
English: wreak | German: rächen | Dutch: wreken | Swedish: vräka,wrecan
English: fold | German: falten | Dutch: vouwen | Swedish: fålla,faldan
German: neigen | Dutch: nijgen | Swedish: niga,hnīgan
English: chip | Dutch: kippen | Swedish: kippa,*cippian
German: Gicht | Dutch: jicht | Swedish: gikt,ġiht
English: rich | German: reich | Dutch: rijk | Swedish: rik,rīċe
English: wath | German: Watt | Dutch: wad | Swedish: vad,wæd
English: burn | German: brinnen | Dutch: barnen | Swedish: brinna,biernan
English: blaze | German: blasiert | Dutch: blazen | Swedish: blåsa,*blǣsan
English: bren | German: brennen | Dutch: barnen | Swedish: brinna,bærnan
English: halse | Swedish: hälsa,hālsian
English: birchen | German: birken | Dutch: berken,bierċen
German: weisen | Dutch: wijzen,wīsan
English: haven | German: Hafen | Dutch: haven | Swedish: hamn,hæfen
English: breese | German: Bremse | Dutch: brems | Swedish: bröms,brīosa
English: black | German: Black | Dutch: blak | Swedish: bläck,blæc
German: schief | Dutch: scheef | Swedish: skev,*sċāb
English: swart | German: schwarz | Dutch: zwart | Swedish: svart,sweart
English: fear | Dutch: vervaren,fǣran
English: trough | German: Trog | Dutch: trog | Swedish: tråg,trog
English: gesith | German: Gesind | Dutch: gezinde,ġesīþ
English: narrow | Dutch: naar | Swedish: nor,naro
English: beer | German: Bier | Dutch: bier | Swedish: bjor,bēor
English: oaken | German: eichen | Swedish: eken,ǣċen
English: work | German: wirken | Dutch: werken | Swedish: virka,wyrċan
English: forbode | German: Verbot | Dutch: verbod | Swedish: förbud,forbod
English: wood | German: Wut | Dutch: woede | Swedish: od,wōd
English: become | German: bekommen | Dutch: bekomen | Swedish: bekomma,becuman
English: herd | German: Herde | Swedish: hjord,heord
English: brod | German: Brort | Swedish: brodd,brord
English: thaw | German: dauen | Dutch: dooien | Swedish: töa,*þāwan
German: zweren | Swedish: tvära,þweran
English: aught | German: Fracht | Dutch: vracht | Swedish: frakt,ǣht
English: ring | German: Ring | Dutch: ring | Swedish: ring,hring
English: but | German: Butt | Dutch: bot | Swedish: but,*butt
English: dew | German: Tau | Dutch: dauw | Swedish: dagg,dēaw
English: raven | German: Rabe | Dutch: raaf | Swedish: ravn,hræfn
English: pack | German: Pack | Dutch: pak | Swedish: packe,*pacca
English: thatch | German: decken | Dutch: dekken | Swedish: täcka,þeċċean
English: jump | German: gumpen | Swedish: gumpa,*gumbian
German: Schächer | Dutch: schaak,*sċǣc
English: angle | German: Angel | Dutch: angel | Swedish: angel,angol
English: high | German: höhen | Dutch: hogen,hēan
German: seit | Dutch: sedert,sīþ
English: file | German: feilen | Dutch: vijlen,fīlian
English: kemp | Swedish: kamp,cenep
English: slack | German: schlack | Dutch: slak | Swedish: slak,slæc
English: preen | German: Pfriem | Dutch: priem,prēon
English: earthnut | German: Erdnuss | Dutch: aardnoot | Swedish: jordnöt,eorþhnutu
English: gate | German: Gate | Dutch: gate | Swedish: gatt,gat
English: feather | German: Feder | Dutch: veder,feþer
English: balk | German: Balken | Dutch: balk | Swedish: balk,balca
English: Goth | German: Gote | Swedish: gute,Gota
English: guest | German: Gast | Dutch: gast | Swedish: gäst,ġiest
German: Wasen | Dutch: waas,*wasa
English: web | German: Spinnwebe | Dutch: web | Swedish: väv,webb
English: door | German: Tor,dor
German: schränken | Dutch: schrenken,sċrenċan
English: door | German: Tür | Dutch: deur | Swedish: dörr,duru
English: maze | Swedish: masa,*masian
English: wise | German: weisen | Swedish: visa,wīsian
English: stow | German: Stau | Dutch: stuw,stōw
English: fure | German: führen | Dutch: voeren | Swedish: föra,fēran
English: orchard | Swedish: ört,*ort
English: waker | German: wacker | Dutch: wakker | Swedish: vacker,wacor
English: elder | German: Holunder | Dutch: holender,ellen
English: sweat | German: schweißen | Dutch: zweten | Swedish: svettas,swǣtan
English: drive | German: treiben | Dutch: drijven | Swedish: driva,drīfan
English: frizz | Dutch: friseren,frīs
English: reek | Dutch: rook | Swedish: rök,hrēac
English: from | Swedish: från,fram
English: oar | Swedish: år,ār
English: coca | Swedish: kaka,ceace
German: Erpel | Dutch: erpel | Swedish: järpe,eorp
German: brimmen | Dutch: bremmen,bremman
English: quoth | Swedish: kväda,cweþan
English: roop | German: rufen | Dutch: kroep | Swedish: ropa,hrōpan
English: dell | German: Delle | Dutch: del,dell
English: hatch | German: hecken | Swedish: häcka,hæċċan
English: fair | German: fair | Dutch: fair | Swedish: fager,fæger
German: Saße | Swedish: försåt,sǣt
German: drängen | Swedish: tränga,*þrengan
English: thank | German: danken | Dutch: danken | Swedish: tacka,þancian
English: other | German: anderer | Dutch: ander | Swedish: annan,ōþer
German: Eber | Dutch: ever | Swedish: jofur,eofor
English: thig | German: digen | Swedish: tigga,þiċġan
German: gleichen | Dutch: gelijken,ġelīcian
English: sling | German: schlingen | Dutch: slingen,slingan
English: bloody | Swedish: blodga,blōdgian
English: sweep | German: schweifen | Swedish: svepa,*swǣpan
English: slight | German: schlecht | Dutch: slecht | Swedish: slät,sliht
German: engen | Dutch: engen,engan
English: last | German: leisten | Dutch: leesten,lǣstan
English: more | German: Möhre | Dutch: moor | Swedish: morot,more
English: steep | Swedish: stöpa,*stīepan
English: bred | German: Brett | Dutch: berd | Swedish: brädd,bred
English: warp | German: Warf | Swedish: varp,wearp
English: world | German: Welt | Dutch: wereld | Swedish: värld,weorold
English: rear | Swedish: resa,rǣran
English: read | German: raten | Dutch: raden | Swedish: råda,rǣdan
German: Viehhaus | Swedish: fähus,feohhūs
English: middle | German: mitteln | Dutch: middelen | Swedish: medla,midlian
English: stun | German: stöhnen | Dutch: steunen,stunian
English: rainy | German: regnig | Dutch: regenig | Swedish: regnig,reġniġ
German: übersteigen | Dutch: overstijgen,oferstīgan
English: prick | Dutch: prikken,prician
English: bark | German: Borke | Dutch: bark | Swedish: bark,barc
English: float | German: Flosse | Swedish: flotte,flota
English: heap | German: Haufen | Dutch: hoop | Swedish: hop,hēap
English: blast | German: Blast | Dutch: blast | Swedish: blåst,blǣst
English: mead | German: Met | Dutch: mede | Swedish: mjöd,medu
English: shield | German: Schild | Dutch: schild | Swedish: sköld,sċield
English: rede | German: Rat | Dutch: raad | Swedish: råd,rǣd
English: thing | German: Ding | Dutch: ding | Swedish: ting,þing
English: milk | German: Milch | Dutch: melk | Swedish: mjölk,meolc
English: strip | Dutch: strippen | Swedish: strypa,*strīepan
Dutch: noppen | Swedish: noppa,hnoppian
English: much | German: Mecklenburg | Dutch: mekel | Swedish: mycken,miċel
English: tame | German: zahm | Dutch: tam | Swedish: tam,tam
English: gound | German: Gundrebe | Dutch: onderhave | Swedish: gundelrev,gund
English: shape | German: Schapp | Dutch: schap | Swedish: skåp,sceap
German: blenden | Dutch: blenden,blendan
English: fetter | Dutch: veteren | Swedish: fjättra,*feterian
English: stale | Dutch: staal,stalu
English: valkyrie | German: Walküre | Dutch: Walkure | Swedish: valkyria,wælcyrġe
English: ash | German: Esche | Dutch: es | Swedish: ask,æsċ
English: chink | German: Keichhusten | Dutch: kinken | Swedish: kikhosta,*ċincian
English: hang | German: hängen | Dutch: hangen | Swedish: hänga,hangian
English: Frise | German: Friese | Dutch: Fries,Frīsa
English: dune | German: Düne | Dutch: duin | Swedish: dyn,dūn
English: water | German: Wasser | Dutch: water | Swedish: vatten,wæter
English: knuckle | German: Knöchel | Dutch: knokkel,cnucel
English: gift | Dutch: giften | Swedish: gifta,giftan
English: quell | German: quälen | Dutch: kwellen | Swedish: kvälja,cwellan
German: Nachen | Dutch: aak,naca
German: sinnen | Dutch: zinnen | Swedish: sinna,sinnan
English: midsummer | German: Mittsommer | Dutch: midzomer | Swedish: midsommar,midsumor
English: berry | German: Beere | Dutch: bère | Swedish: bär,berġe
English: skipper | German: Schipper | Dutch: schipper | Swedish: skeppare,sċipere
English: evenstar | German: Abendstern | Dutch: avondster | Swedish: aftonstjärna,ǣfensteorra
English: weft | Swedish: väft,wift
English: wall | German: wallen | Dutch: wallen,wallan
English: wry | German: reihen | Dutch: rijgen,wrēon
English: bitch | German: Betze | Dutch: bitch | Swedish: bycka,biċċe
English: worth | German: wert | Dutch: waard | Swedish: värd,weorþ
English: was | Dutch: was,wæs
English: sake | German: Sache | Dutch: zaak | Swedish: sak,sacu
English: moon | German: Mond | Dutch: maan | Swedish: måne,mōna
English: fang | German: fangen | Dutch: vangen | Swedish: få,fōn
